Year,"DAC Countries, Total"
1990,86758.71
1991,89630.32
1992,90955.63
1993,84056.3
1994,84098.37
1995,75326.85
1996,75408.95
1997,70417.77
1998,77000.87
1999,77708.87
2000,81225.78
2001,83620.44
2002,89760.67
2003,94181.72
2004,100013.23
2005,131578.49
2006,124443.67
2007,114905.55
2008,128238.96
2009,130304.13
2010,137514.07
2011,136341.15
2012,131283.0
2013,138088.64
2014,140463.96
2015,149246.57
2016,165496.43
2017,164973.76
2018,164822.49
2019,165829.46
2020,172371.08
2021,186083.54
2022,217721.17
